Cleaned Text,Note Count,Models Involved,Note IDs
เรื่อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768001, 1504119762406"
นั้น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768004, 1504119762197"
มาก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768005, 1504119762131"
ถูก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768007, 1504119762140"
ไว้,2,"Basic (+Audio), Basic (and reversed card)","1399818768008, 1724648773501"
หรือ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768009, 1504119762295"
เพราะ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768010, 1685174265427"
เวลา,2,"Basic (+Audio), Basic (and reversed card)","1399818768011, 1670823036132"
ยัง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768012, 1504119762416"
ทำ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768013, 1504119762118"
เห็น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768014, 1504119762298"
เข้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768015, 1684296283168"
ลง,2,"Basic (+Audio), Basic (and reversed card)","1399818768018, 1710968812618"
ถ้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768019, 1504119762294"
ตัว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768020, 1504119762222"
ใช้,2,"Basic (+Audio), Basic (and reversed card)","1399818768021, 1668843402087"
ตาม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768022, 1504119762397"
อีก,2,"Basic (+Audio), Basic (and reversed card)","1399818768023, 1660369598205"
บาง,2,"Basic (+Audio), Basic (and reversed card)","1399818768024, 1722058594166"
ทาง,2,"Basic (+Audio), Basic (and reversed card)","1399818768026, 1674213495416"
แบบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768027, 1673245080800"
ออก,2,"Basic (+Audio), Basic (and reversed card)","1399818768028, 1675146134265"
ที่สุด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768029, 1504119762470"
เรา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768030, 1504119762091"
ดี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768032, 1504119762135"
จึง,2,"Basic (+Audio), Basic (and reversed card)","1399818768034, 1723797302959"
ต่อ,2,"Basic (+Audio), Basic (and reversed card)","1399818768035, 1677392574279"
เขา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768037, 1504119762093"
หลาย,2,"Basic (+Audio), Basic (and reversed card)","1399818768038, 1683699009557"
ทุก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768039, 1504119762355"
คือ,2,"Basic (+Audio), Basic (and reversed card)","1399818768042, 1751258345637"
ปี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768045, 1504119762348"
งาน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768046, 1504119762573"
ใหม่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768047, 1504119762146"
ตั้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768048, 1738394082857"
ส่วน,2,"Basic (+Audio), Basic (and reversed card)","1399818768049, 1713930998940"
รับ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768050, 1504119762393"
แรก,2,"Basic (+Audio), Basic (and reversed card)","1399818768051, 1676787437616"
พระ,2,"Basic (+Audio), Basic (and reversed card)","1399818768052, 1711005349465"
ทำงาน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768053, 1504119762161"
วัน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768054, 1504119762344"
ช่วย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768055, 1504119762401"
อื่น,2,"Basic (+Audio), Basic (and reversed card)","1399818768058, 1679119421060"
ขนาด,2,"Basic (+Audio), Basic (and reversed card)","1399818768059, 1684475467584"
นัก,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768060, 1770093416876"
เริ่ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768061, 1504119762404"
เด็ก,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768062, 1691833804369"
ชีวิต,2,"Basic (+Audio), Basic (and reversed card)","1399818768063, 1695015080085"
สูง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768064, 1691823129590"
ก่อน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768065, 1504119762420"
ดู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768069, 1504119762119"
ใหญ่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768071, 1504119762217"
หา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768072, 1504119762396"
ผม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768074, 1504119762230"
กลาง,2,"Basic (+Audio), Basic (and reversed card)","1399818768075, 1674213411951"
ก็ได้,2,"Basic (+Audio), Basic (and reversed card)","1399818768076, 1673245721082"
คุณ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768079, 1504119762092"
เดียว,2,"Basic (+Audio), Basic (and reversed card)","1399818768080, 1670746179801"
เมือง,2,"Basic (+Audio), Basic (and reversed card)","1399818768081, 1751724833206"
สิ่ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768082, 1504119762286"
ตัด,2,"Basic (+Audio), Basic (and reversed card)","1399818768083, 1740077842140"
ผิด,2,"Basic (+Audio), Basic (and reversed card)","1399818768086, 1671520366468"
เสีย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768087, 1504119762252"
เอา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768088, 1504119762166"
จน,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768089, 1691823718441"
เลย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768090, 1504119762408"
คิด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768091, 1504119762296"
นับ,2,"Basic (+Audio), Basic (and reversed card)","1399818768092, 1711004873060"
ผ่าน,2,"Basic (+Audio), Basic (and reversed card)","1399818768093, 1709103394991"
ตั้งแต่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768095, 1504119762363"
ตอน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768096, 1504119762358"
เอง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768101, 1504119762411"
อ่าน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768104, 1504119762122"
เคย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768105, 1504119762414"
อะไร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768106, 1504119762388"
กลับ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768107, 1504119762394"
ขอ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768108, 1504119762165"
โลก,2,"Basic (+Audio), Basic (and reversed card)","1399818768109, 1739164205571"
น้ำ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768111, 1504119762096"
อย่างไร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768113, 1504119762391"
ยิ่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768114, 1671786624222"
บ้าน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768115, 1504119762107"
คำ,2,"Basic (+Audio), Basic (and reversed card)","1399818768117, 1702100922522"
พบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768118, 1712721808152"
เข้าใจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768119, 1504119762126"
อัน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768120, 1504119762221"
ถือ,2,"Basic (+Audio), Basic (and reversed card)","1399818768122, 1708844127090"
มัน,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768123, 1685174218150"
กำลัง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768126, 1504119762407"
ควร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768127, 1504119762413"
ยก,2,"Basic (+Audio), Basic (and reversed card)","1399818768129, 1741844845694"
น่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768130, 1709709289912"
ต้น,2,"Basic (+Audio), Basic (and reversed card)","1399818768131, 1709104139862"
รู้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768132, 1504119762299"
เหมือน,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768133, 1691831987416"
เท่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768134, 1710314179051"
บน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768135, 1504119762262"
พยายาม,2,"Basic (+Audio), Basic (and reversed card)","1399818768136, 1671692345233"
บอก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768140, 1504119762297"
ตลอด,2,"Basic (+Audio), Basic (and reversed card)","1399818768141, 1707454036528"
เก็บ,2,"Basic (+Audio), Basic (and reversed card)","1399818768146, 1673329323052"
บ้าง,2,"Basic (+Audio), Basic (and reversed card)","1399818768149, 1673329797252"
ใคร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768150, 1504119762387"
แก่,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768151, 1691830173450"
หลัง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768152, 1504119762238"
เลือก,2,"Basic (+Audio), Basic (and reversed card)","1399818768156, 1737440143228"
เธอ,2,"Basic (+Audio), Basic (and reversed card)","1399818768157, 1724821136570"
ลูก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768158, 1504119762223"
คง,2,"Basic (+Audio), Basic (and reversed card)","1399818768159, 1694237602135"
ทหาร,2,"Basic (+Audio), Basic (and reversed card)","1399818768161, 1725016357722"
ง่าย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768166, 1504119762142"
ระหว่าง,2,"Basic (+Audio), Basic (and reversed card)","1399818768167, 1751724799178"
พูด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768168, 1504119762106"
ใจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768169, 1504119762593"
อาหาร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768170, 1504119762429"
กลุ่ม,2,"Basic (+Audio), Basic (and reversed card)","1399818768172, 1723798553084"
พอ,2,"Basic (+Audio), Basic (and reversed card)","1399818768174, 1671184655178"
เงิน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768176, 1504119762195"
หน้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768178, 1504119762231"
เขียน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768180, 1504119762123"
โอกาส,2,"Basic (+Audio), Basic (and reversed card)","1399818768183, 1702466928714"
ดัง,2,"Basic (+Audio), Basic (and reversed card)","1399818768184, 1723798691382"
ชาติ,2,"Basic (+Audio), Basic (and reversed card)","1399818768187, 1669093838440"
แม่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768188, 1504119762373"
เรียน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768189, 1504119762124"
รัก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768191, 1504119762105"
ทราบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768192, 1721460106692"
เชื่อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768194, 1504119762504"
ครอบครัว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768197, 1504119762385"
เปิด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768198, 1504119762120"
ชอบ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768199, 1504119762104"
มอง,2,"Basic (+Audio), Basic (and reversed card)","1399818768203, 1722919795264"
พวก,2,"Basic (+Audio), Basic (and reversed card)","1399818768204, 1763094845035"
รูป,2,"Basic (+Audio), Basic (and reversed card)","1399818768205, 1702618938622"
ติด,2,"Basic (+Audio), Basic (and reversed card)","1399818768207, 1723266560405"
วาง,2,"Basic (+Audio), Basic (and reversed card)","1399818768209, 1711188409404"
ยาก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768210, 1504119762143"
เดือน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768212, 1504119762347"
นาน,2,"Basic (+Audio), Basic (and reversed card)","1399818768213, 1685087516612"
ผู้หญิง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768215, 1504119762150"
ซื้อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768218, 1504119762214"
เล่น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768222, 1504119762567"
สำคัญ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768223, 1504119762510"
เดียวกัน,2,"Basic (+Audio), Basic (and reversed card)","1399818768224, 1713847686341"
วัด,2,"Basic (+Audio), Basic (and reversed card)","1399818768225, 1670784455709"
ตรง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768226, 1504119762275"
แน่นอน,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768227, 1685172611977"
เล็ก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768228, 1504119762218"
ชาว,2,"Basic (+Audio), Basic (and reversed card)","1399818768229, 1752464497722"
รักษา,2,"Basic (+Audio), Basic (and reversed card)","1399818768231, 1722920288749"
ลด,2,"Basic (+Audio), Basic (and reversed card)","1399818768232, 1711774128527"
กิน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768233, 1504119762102"
แรง,2,"Basic (+Audio), Basic (and reversed card)","1399818768234, 1707455809617"
สุข,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768235, 1504119762585"
ขาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768236, 1504119762215"
ชาวบ้าน,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768237, 1772254576142"
เจ้าของ,2,"Basic (+Audio), Basic (and reversed card)","1399818768239, 1672469857100"
ใต้,2,"Basic (+Audio), Basic (and reversed card)","1399818768242, 1709799213891"
คู่,2,"Basic (+Audio), Basic (and reversed card)","1399818768243, 1713756521373"
ข้าม,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768244, 1768973008742"
พร้อม,2,"Basic (+Audio), Basic (and reversed card)","1399818768247, 1678601782414"
รู้สึก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768248, 1504119762500"
นี่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768249, 1504119762196"
หมด,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768251, 1691830471243"
เพลง,2,"Basic (+Audio), Basic (and reversed card)","1399818768256, 1736496827540"
เพื่อน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768257, 1504119762386"
จนถึง,2,"Basic (+Audio), Basic (and reversed card)","1399818768258, 1668236135385"
ไหน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768262, 1504119762261"
ยาว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768265, 1504119762257"
นักเรียน,2,"Basic (+Audio), Basic (and reversed card)","1399818768267, 1669824104397"
สงบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768268, 1693492411128"
จุด,2,"Basic (+Audio), Basic (and reversed card)","1399818768269, 1739164289849"
เดิน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768270, 1504119762169"
สนใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818768271, 1721467167038"
ปกติ,2,"Basic (+Audio), Basic (and reversed card)","1399818768272, 1721460569746"
ครู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768273, 1504119762210"
กำหนด,2,"Basic (+Audio), Basic (and reversed card)","1399818768280, 1736228819903"
สอน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768281, 1504119762125"
ประมาณ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768282, 1504119762364"
ประโยชน์,2,"Basic (+Audio), Basic (and reversed card)","1399818768286, 1657285340731"
จำเป็น,2,"Basic (+Audio), Basic (and reversed card)","1399818768287, 1735828972651"
เกิน,2,"Basic (+Audio), Basic (and reversed card)","1399818768288, 1678856948361"
คืน,2,"Basic (+Audio), Basic (and reversed card)","1399818768290, 1672293313047"
ยา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768291, 1504119762249"
สภาพ,2,"Basic (+Audio), Basic (and reversed card)","1399818768293, 1721670272345"
ตาย,2,"Basic (+Audio), Basic (and reversed card)","1399818768294, 1658556532300"
ทะเล,2,"Basic (+Audio), Basic (and reversed card)","1399818768295, 1663393898387"
โรงเรียน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768299, 1504119762111"
เล่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768300, 1709104190997"
ตก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768302, 1504119762556"
พ่อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768303, 1504119762374"
ชนิด,2,"Basic (+Audio), Basic (and reversed card)","1399818768304, 1703928476892"
ตา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768307, 1504119762232"
ใส่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768309, 1504119762494"
ขาด,2,"Basic (+Audio), Basic (and reversed card)","1399818768311, 1738392969138"
สามี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768312, 1504119762379"
พี่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768317, 1504119762365"
วิธี,2,"Basic (+Audio), Basic (and reversed card)","1399818768320, 1738214784182"
ชุด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768322, 1504119762518"
อำเภอ,2,"Basic (+Audio), Basic (and reversed card)","1399818768323, 1693158567713"
ห้อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768325, 1504119762112"
เดินทาง,2,"Basic (+Audio), Basic (and reversed card)","1399818768328, 1734154489917"
พา,2,"Basic (+Audio), Basic (and reversed card)","1399818768335, 1708693782857"
โต,2,"Basic (+Audio), Basic (and reversed card)","1399818768338, 1709355421796"
ตัดสินใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818768340, 1740077606107"
ราคา,2,"Basic (+Audio), Basic (and reversed card)","1399818768341, 1669454081642"
อารมณ์,2,"Basic (+Audio), Basic (and reversed card)","1399818768343, 1693492544264"
กา,2,"Basic (+Audio), Basic (and reversed card)","1399818768344, 1709446080887"
นั่ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768354, 1504119762167"
สาย,2,"Basic (+Audio), Basic (and reversed card)","1399818768355, 1712635995787"
จับ,2,"Basic (+Audio), Basic (and reversed card)","1399818768356, 1676958937059"
รัฐบาล,2,"Basic (+Audio), Basic (and reversed card)","1399818768357, 1723266659922"
ดูแล,2,"Basic (+Audio), Basic (and reversed card)","1399818768358, 1694928314182"
ต่ำ,2,"Basic (+Audio), Basic (and reversed card)","1399818768360, 1739164128900"
ทอง,2,"Basic (+Audio), Basic (and reversed card)","1399818768361, 1660300776015"
สั้น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768368, 1504119762258"
ห้าม,2,"Basic (+Audio), Basic (and reversed card)","1399818768369, 1721459212962"
ไม้,2,"Basic (+Audio), Basic (and reversed card)","1399818768373, 1712806064663"
เกินไป,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768374, 1504119762469"
แล้วก็,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768377, 1504119762290"
มือ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768383, 1504119762241"
เต็ม,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768384, 1691830294613"
นา,2,"Basic (+Audio), Basic (and reversed card)","1399818768385, 1709446237039"
ป่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768387, 1676528810491"
ใบ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768389, 1504119762225"
เก่า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768392, 1504119762147"
แก้,2,"Basic (+Audio), Basic (and reversed card)","1399818768394, 1729320016594"
จบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768395, 1737180431177"
ประเภท,2,"Basic (+Audio), Basic (and reversed card)","1399818768397, 1703928360637"
ความคิด,2,"Basic (+Audio), Basic (and reversed card)","1399818768399, 1673074403487"
หัว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768401, 1504119762229"
จังหวัด,2,"Basic (+Audio), Basic (and reversed card)","1399818768403, 1673079708820"
หลวง,2,"Basic (+Audio), Basic (and reversed card)","1399818768405, 1711005409717"
ยอม,2,"Basic (+Audio), Basic (and reversed card)","1399818768406, 1678257439234"
ปิด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768407, 1504119762121"
อย่า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768408, 1504119762417"
อากาศ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768412, 1504119762552"
พวกเขา,2,"Basic (+Audio), Basic (and reversed card)","1399818768415, 1723796379349"
ดังนั้น,2,"Basic (+Audio), Basic (and reversed card)","1399818768419, 1723797388256"
แค่,2,"Basic (+Audio), Basic (and reversed card)","1399818768422, 1662448475402"
บรรยากาศ,2,"Basic (+Audio), Basic (and reversed card)","1399818768425, 1736747340333"
ใกล้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768428, 1504119762270"
การเมือง,2,"Basic (+Audio), Basic (and reversed card)","1399818768430, 1723266153980"
เลี้ยง,2,"Basic (+Audio), Basic (and reversed card)","1399818768433, 1711773164765"
คำถาม,2,"Basic (+Audio), Basic (and reversed card)","1399818768434, 1759550881085"
สัก,2,"Basic (+Audio), Basic (and reversed card)","1399818768436, 1723090080666"
มหาวิทยาลัย,2,"Basic (+Audio), Basic (and reversed card)","1399818768438, 1721670132746"
ชน,2,"Basic (+Audio), Basic (and reversed card)","1399818768440, 1725015349070"
อา,2,"Basic (+Audio), Basic (and reversed card)","1399818768447, 1709446137756"
บริษัท,2,"Basic (+Audio), Basic (and reversed card)","1399818768451, 1703928269923"
ทั่วไป,2,"Basic (+Audio), Basic (and reversed card)","1399818768453, 1725016483427"
หนัง,2,"Basic (+Audio), Basic (and reversed card)","1399818768462, 1658556464170"
หยุด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768464, 1504119762277"
เขต,2,"Basic (+Audio), Basic (and reversed card)","1399818768465, 1710268626710"
ครึ่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768466, 1671256909595"
แก้ไข,2,"Basic (+Audio), Basic (and reversed card)","1399818768470, 1706669931310"
บาท,2,"Basic (+Audio), Basic (and reversed card)","1399818768471, 1738907166679"
สัตว์,2,"Basic (+Audio), Basic (and reversed card)","1399818768473, 1756521549856"
คำตอบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768474, 1759550972419"
พอใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818768476, 1673602425090"
น้อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768477, 1504119762368"
นอน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768481, 1504119762127"
ภาค,2,"Basic (+Audio), Basic (and reversed card)","1399818768483, 1694237710746"
ร้อน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768484, 1504119762460"
สิ้น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768485, 1504119762359"
บริการ,2,"Basic (+Audio), Basic (and reversed card)","1399818768489, 1736575407719"
ปลา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768490, 1504119762160"
ตลาด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768492, 1504119762492"
เรื่อย,2,"Basic (+Audio), Basic (and reversed card)","1399818768493, 1670047349819"
แบ่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768494, 1739685489733"
บริหาร,2,"Basic (+Audio), Basic (and reversed card)","1399818768496, 1723266699156"
เร็ว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768498, 1504119762132"
อาจารย์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768499, 1504119762211"
ลา,2,"Basic (+Audio), Basic (and reversed card)","1399818768501, 1709103147365"
ข้าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768503, 1504119762264"
